Timestamp,Cho chúng mình biết bạn đang là sinh viên khóa bao nhiêu ?,Chuyên ngành của bạn là gì ? ,Giới tính của bạn,Bạn đang sử dụng laptop hãng nào ?,Mẫu máy của bạn là gì ?,Mức độ hài lòng về chiếc laptop của bạn,Đánh giá sơ bộ laptop của bạn [Chất lượng hoàn thiện],Đánh giá sơ bộ laptop của bạn [Thiết kế],Đánh giá sơ bộ laptop của bạn [Thời lượng pin],Đánh giá sơ bộ laptop của bạn [Độ di động (gọn nhẹ)],Đánh giá sơ bộ laptop của bạn [Hiệu năng],Đánh giá sơ bộ laptop của bạn [Hiển thị],Đánh giá sơ bộ laptop của bạn [Dịch vụ bảo hành],Thời lượng sử dụng laptop của bạn mỗi ngày,"Mục đích sử dụng laptop của bạn là gì
(Bạn có thể chọn nhiều hơn 1 câu trả lời)",Thời lượng sử dụng laptop của bạn trong việc học trong 1 ngày,Laptop có giúp ích trong việc học và làm của bạn không,Bạn có sử dụng laptop khi lên lớp không ?,Bạn có thường bị mất tập trung khi sử dụng laptop cho việc học không ?,Bạn dành bao nhiêu tiền để mua laptop (đơn vị Triệu đồng),"Nếu được chọn lại, bạn sẽ chọn mẫu máy laptop nào? Tại sao?","Trên thang điểm 1-5 hãy đánh giá khả năng sử dụng máy tính của bạn (1: Mới sử dụng, 5: Thành thạo)",Bạn đã từng sử dụng mẹo để tăng tốc độ xử lý của máy tính chưa?
12/27/2022 17:02,64,DSEB,Nam,Dell,Không nhớ,Bình thường,Bình thường,Bình thường,Khá hài lòng,Bình thường,Bình thường,Bình thường,Khá hài lòng,2 - 4 tiếng,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Ít khi,Thình thoảng,12.5,Acer Nitro 5,3,Đã từng
12/27/2022 17:04,64,DSEB,Nữ,Macbook,Macbook Air M1,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",ít hơn 30 phút,Đủ,Thình thoảng,Bình thường,30,Macbook,2,Chưa từng
12/27/2022 17:05,64,Kiểm toán,Nam,Macbook,Macbook Pro M1,Khá hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Khá hài lòng,Rất hài lòng,Khá hài lòng,30 phút - 1 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",1- 2 tiếng,Đủ,Thình thoảng,Bình thường,30,,4,Chưa từng
12/27/2022 17:06,64,DSEB,Nữ,Asus,Asus Vivobook,Bình thường,Bình thường,Bình thường,Bình thường,Không hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,30 phút - 1 tiếng,Học tập,30 phút - 1 tiếng,Đủ,Thình thoảng,Thường xuyên,12.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nam,Macbook,Macbook Air M1,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,Rất hài lòng,1- 2 tiếng,"Học tập, Chơi game, Giải trí nhẹ, Soạn thảo văn bản, Sáng tạo nội dung (chỉnh sửa hình ảnh, video)",30 phút - 1 tiếng,Đủ,Thình thoảng,Thình thoảng,22.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nữ,Dell,Dell Latitude,Bình thường,Khá hài lòng,Không hài lòng,Không hài lòng,Không hài lòng,Khá hài lòng,Khá hài lòng,Bình thường,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Lập trình",1- 2 tiếng,Ngoài mong đợi,Không,Thình thoảng,12.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nam,MSI,MSI Modern 14,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Rất hài lòng,Khá hài lòng,Khá hài lòng,Rất hài lòng,2 - 4 tiếng,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",1- 2 tiếng,Đủ,Bình thường,Thình thoảng,12.5,,3,Chưa từng
12/27/2022 17:06,64,DSEB,Nam,Asus,Asus Vivobook,Khá hài lòng,Khá hài lòng,Rất hài lòng,Bình thường,Khá hài lòng,Rất hài lòng,Rất hài lòng,Không hài lòng,4 tiếng +,"Học tập, Chơi game, Giải trí nhẹ, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình, Chạy máy ảo",1- 2 tiếng,Ngoài mong đợi,Thường xuyên,Bình thường,22.5,Macbook Pro,4,Đã từng
12/27/2022 17:07,63,MIS,Nữ,HP,HP Pavilion ,Khá hài lòng,Bình thường,Bình thường,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Sáng tạo nội dung (chỉnh sửa hình ảnh, video), Lập trình",1- 2 tiếng,Đủ,Thường xuyên,Thình thoảng,7.5,,4,Chưa từng
12/27/2022 17:07,64,Tài chính,Nữ,Asus,Asus Vivobook,Khá hài lòng,Khá hài lòng,Bình thường,Khá hài lòng,Khá hài lòng,Bình thường,Bình thường,Khá hài lòng,4 tiếng +,"Học tập, Giải trí nhẹ, Soạn thảo văn bản",4 tiếng +,Đủ,Thường xuyên,Ít khi,17.5,lenovo thinkbook,3,Chưa từng
12/27/2022 17:07,64,DSEB,Nữ,Dell,Không nhớ,Bình thường,Bình thường,Khá hài lòng,Không hài lòng,Không hài lòng,Bình thường,Bình thường,Bình thường,1- 2 tiếng,Học tập,1- 2 tiếng,Đủ,Thình thoảng,Thình thoảng,17.5,,3,Chưa từng
